speaker,time,row_index
CA1HA_87,364.0898,752
CA1HA_87,364.1348,753
CA1HA_87,364.1798,754
CA1HA_87,364.2148,755
CA1HA_87,364.2498,756
CA1HA_87,364.2798,757
CA1HA_87,364.3148,758
CA1HA_87,364.3948,759
CA1HA_87,364.4948,760
CA1HA_87,364.5698,761
CA1HA_87,364.6648,762
CA1HA_87,364.7998,763
CA1HA_87,364.8798,764
CA1HA_87,365.1592,765
CA1HA_87,365.1992,766
CA1HA_87,365.2342,767
CA1HA_87,365.2792,768
CA1HA_87,365.3342,769
CA1HA_87,365.3742,770
CA1HA_87,365.4092,771
CA1HA_87,365.4442,772
CA1HA_87,365.4742,773
CA1HA_87,365.5542,774
CA1HA_87,365.6592,775
CA1HA_87,366.1281,776
CA1HA_87,366.1731,777
CA1HA_87,366.2081,778
CA1HA_87,366.2481,779
CA1HA_87,366.3181,780
CA1HA_87,366.3731,781
CA1HA_87,366.4081,782
CA1HA_87,366.4281,783
CA1HA_87,366.4481,784
CA1HA_87,366.4781,785
CA1HA_87,366.5231,786
CA1HA_87,366.5681,787
CA1HA_87,366.5981,788
CA1HA_87,366.6581,789
CA1HA_87,366.7081,790
CA1HA_87,366.7731,791
CA1HA_87,366.8431,792
CA1HA_87,366.8781,793
CA1HA_87,366.9331,794
CA1HA_87,366.9881,795
CA1HA_87,367.0481,796
CA1HA_87,367.0981,797
CA1HA_87,367.1281,798
CA1HA_87,367.1681,799
CA1HA_87,367.2281,800
CA1HA_87,367.2831,801
CA1HA_87,367.3831,802
CA1HA_87,367.5331,803
CA1HA_87,367.6631,804
CA1HA_87,367.7581,805
CA1HA_87,367.8281,806
CA1HA_87,367.8881,807
CA1HA_87,367.9481,808
CA1HA_87,368.0331,809
CA1HA_87,368.0931,810
CA1HA_87,368.1731,811
CA1HA_87,368.2681,812
CA1HA_87,368.3481,813
CA1HA_87,368.7345,814
CA1HA_87,368.8095,815
CA1HA_87,368.8745,816
CA1HA_87,368.9045,817
CA1HA_87,368.9395,818
CA1HA_87,368.9745,819
CA1HA_87,368.9995,820
CA1HA_87,369.0345,821
CA1HA_87,369.0845,822
CA1HA_87,369.1345,823
CA1HA_87,369.1895,824
CA1HA_87,369.2495,825
CA1HA_87,369.3095,826
CA1HA_87,369.4145,827
CA1HA_87,369.5295,828
CA1HA_87,369.5995,829
CA1HA_87,369.6445,830
CA1HA_87,369.6745,831
CA1HA_87,369.7045,832
CA1HA_87,369.7345,833
CA1HA_87,369.7745,834
CA1HA_87,369.8145,835
CA1HA_87,369.8445,836
CA1HA_87,369.8745,837
CA1HA_87,369.9195,838
CA1HA_87,369.9745,839
CA1HA_87,370.0245,840
CA1HA_87,370.0895,841
CA1HA_87,370.1595,842
CA1HA_87,370.2295,843
CA1HA_87,370.2845,844
CA1HA_87,370.3245,845
CA1HA_87,370.3645,846
CA1HA_87,370.3945,847
CA1HA_87,370.4395,848
CA1HA_87,370.5095,849
