speaker,time,row_index,formant_1,formant_2,formant_3,pitchValue,intensityValue
CA1HA_87,383.39430000000004,987,0,0,0,0,0
CA1HA_87,383.4543,988,0,0,0,0,0
CA1HA_87,383.4893,989,0,0,0,0,0
CA1HA_87,383.5443,990,0,0,0,0,0
CA1HA_87,383.62429999999995,991,0,0,0,0,0
CA1HA_87,383.7143,992,0,0,0,0,0
CA1HA_87,383.8243,993,0,0,0,0,0
CA1HA_87,383.90430000000003,994,0,0,0,0,0
CA1HA_87,383.9593,995,0,0,0,0,0
CA1HA_87,384.01430000000005,996,0,0,0,0,0
CA1HA_87,384.0943,997,0,0,0,0,0
CA1HA_87,384.15930000000003,998,0,0,0,0,0
CA1HA_87,384.1993,999,0,0,0,0,0
CA1HA_87,384.2393,1000,0,0,0,0,0
CA1HA_87,384.2693,1001,0,0,0,0,0
CA1HA_87,384.3143,1002,0,0,0,0,0
CA1HA_87,384.37429999999995,1003,0,0,0,0,0
CA1HA_87,384.4343,1004,0,0,0,0,0
CA1HA_87,384.47929999999997,1005,0,0,0,0,0
CA1HA_87,384.5093,1006,0,0,0,0,0
CA1HA_87,384.5493,1007,0,0,0,0,0
CA1HA_87,384.5893,1008,0,0,0,0,0
CA1HA_87,384.6193,1009,0,0,0,0,0
CA1HA_87,385.27430000000004,1010,0,0,0,0,0
CA1HA_87,385.3043,1011,0,0,0,0,0
CA1HA_87,385.3643,1012,0,0,0,0,0
CA1HA_87,385.4393,1013,0,0,0,0,0
CA1HA_87,385.49429999999995,1014,0,0,0,0,0
CA1HA_87,385.5843,1015,0,0,0,0,0
CA1HA_87,385.6743,1016,0,0,0,0,0
CA1HA_87,385.7193,1017,0,0,0,0,0
CA1HA_87,385.7493,1018,0,0,0,0,0
CA1HA_87,385.77930000000003,1019,0,0,0,0,0
CA1HA_87,385.7993,1020,0,0,0,0,0
CA1HA_87,385.8193,1021,0,0,0,0,0
CA1HA_87,385.85429999999997,1022,0,0,0,0,0
CA1HA_87,385.89930000000004,1023,0,0,0,0,0
CA1HA_87,385.9493,1024,0,0,0,0,0
CA1HA_87,386.01430000000005,1025,0,0,0,0,0
CA1HA_87,386.0743,1026,0,0,0,0,0
CA1HA_87,386.10929999999996,1027,0,0,0,0,0
CA1HA_87,386.14930000000004,1028,0,0,0,0,0
CA1HA_87,386.1893,1029,0,0,0,0,0
CA1HA_87,386.2193,1030,0,0,0,0,0
CA1HA_87,386.2543,1031,0,0,0,0,0
CA1HA_87,386.3093,1032,0,0,0,0,0
CA1HA_87,386.40930000000003,1033,0,0,0,0,0
CA1HA_87,386.4993,1034,0,0,0,0,0
CA1HA_87,386.5543,1035,0,0,0,0,0
CA1HA_87,386.61429999999996,1036,0,0,0,0,0
CA1HA_87,386.65930000000003,1037,0,0,0,0,0
